id,project_name,client_name,manager_id,tl_id,assigned_hours,working_hours,assigned_date,start_date,completed_date,project_status,project_activity_status,soft_delete,remainder_sent_date,modelling_hours,checking_hours,detailing_hours,study_hours,extra_hours,modelling_time,checking_time,detailing_time,study_hours_tracking,extra_hours_tracking
20,Upsilon Residency,Zeta Holdings,1016,,3500.0,3003.0,,2026-03-09,,1,,0,,1400.0,1225.0,875.0,0.0,0.0,1201.2,1051.05,750.75,0.0,0.0
21,Phi Mall,ABC Constructions,1029,,3500.0,3030.0,,2026-03-09,,1,,0,,1400.0,1225.0,875.0,0.0,0.0,1212.0,1060.5,757.5,0.0,0.0
22,Chi Complex,XYZ Builders,1029,,3500.0,3051.0,,2026-03-09,,1,,0,,1400.0,1225.0,875.0,0.0,0.0,1220.4,1067.85,762.75,0.0,0.0
23,Psi Gardens,Acme Corp,1042,,3500.0,3012.0,,2026-03-09,,1,,0,,1400.0,1225.0,875.0,0.0,0.0,1204.8,1054.2,753.0,0.0,0.0
24,Omega Residency,Prime Estates,1042,,8600.0,3000.0,,2026-03-09,,1,,0,,3440.0,3010.0,2150.0,0.0,0.0,1200.0,1050.0,750.0,0.0,0.0
25,Alpha Plaza,Urban Developers,1055,,3000.0,2913.0,,2026-03-09,,1,,0,,1200.0,1050.0,750.0,0.0,0.0,1165.2,1019.55,728.25,0.0,0.0
26,Beta Heights,Skyline Group,1068,,3500.0,3069.0,,2026-03-09,,1,,0,,1400.0,1225.0,875.0,0.0,0.0,1227.6,1074.15,767.25,0.0,0.0
27,Harshan Tower,BuildFirst Ltd,1016,1017.0,30.0,3.0,,2026-01-21,2026-03-31,0,IFA,0,,12.0,10.5,7.5,0.0,0.0,1.2,1.05,0.75,0.0,0.0
28,Janaeswar Residency,StructurePro,1016,1017.0,3000.0,0.0,,2025-05-08,2026-02-25,0,IFA,0,,1200.0,1050.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Harish Skywalk,Horizon Builders,1016,1017.0,2500.0,0.0,,2024-02-05,2025-10-31,0,REIFA,0,,1000.0,875.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Barath Restaurant,Metro Constructions,1016,1017.0,2000.0,0.0,,2026-02-09,2026-11-30,0,REIFA,0,,800.0,700.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Iota Residency,Paramount Builders,1016,1017.0,2500.0,2319.93,2023-05-11,2023-05-17,2024-03-12,0,AFC,0,,1000.0,875.0,625.0,0.0,0.0,927.97,811.98,579.98,0.0,0.0
32,Eclipse Tower,Paramount Builders,1003,1017.0,2500.0,1931.22,2023-04-11,2023-04-22,2024-02-16,0,AFC,0,,1000.0,875.0,625.0,0.0,0.0,772.49,675.93,482.8,0.0,0.0
33,Orion Hub,Horizon Builders,1042,1017.0,4500.0,4011.41,2022-01-09,2022-01-14,2022-11-10,0,IFC,0,,1800.0,1575.0,1125.0,0.0,0.0,1604.56,1403.99,1002.86,0.0,0.0
34,Eclipse Centre,XYZ Builders,1016,,2750.0,2313.25,2023-12-29,2024-01-06,2024-11-01,0,IFA,0,,1100.0,962.5,687.5,0.0,0.0,925.3,809.64,578.31,0.0,0.0
35,Nu Heights,XYZ Builders,1081,,2750.0,2426.85,2023-12-30,2024-01-11,2024-11-06,0,IFC,0,,1100.0,962.5,687.5,0.0,0.0,970.74,849.4,606.71,0.0,0.0
36,Titan Point,Skyline Group,1016,,3000.0,2873.87,2024-02-11,2024-02-18,2024-12-14,0,REIFA,0,,1200.0,1050.0,750.0,0.0,0.0,1149.55,1005.85,718.47,0.0,0.0
37,Pi Complex,NovaBuild Corp,1055,,2750.0,2464.53,2022-12-06,2022-12-17,2023-10-13,0,REIFA,0,,1100.0,962.5,687.5,0.0,0.0,985.81,862.59,616.13,0.0,0.0
38,Vega Centre,Acme Corp,1068,1017.0,2500.0,2012.43,2022-02-27,2022-03-07,2023-01-01,0,IFC,0,,1000.0,875.0,625.0,0.0,0.0,804.97,704.35,503.11,0.0,0.0
39,Rho Mall,StructurePro,1042,,4500.0,3802.28,2024-07-23,2024-07-28,2025-05-24,0,IFC,0,,1800.0,1575.0,1125.0,0.0,0.0,1520.91,1330.8,950.57,0.0,0.0
40,Sterling Heights,XYZ Builders,1081,,4000.0,3347.52,2022-09-30,2022-10-11,2023-08-07,0,REIFA,0,,1600.0,1400.0,1000.0,0.0,0.0,1339.01,1171.63,836.88,0.0,0.0
41,Eclipse Gate,Summit Construction,1029,1017.0,4000.0,3572.55,2024-02-19,2024-02-28,2024-12-24,0,IFA,0,,1600.0,1400.0,1000.0,0.0,0.0,1429.02,1250.39,893.14,0.0,0.0
42,Tau Ridge,Skyline Group,1016,,3200.0,2990.28,2023-11-24,2023-11-28,2024-09-23,0,IFC,0,,1280.0,1120.0,800.0,0.0,0.0,1196.11,1046.6,747.57,0.0,0.0
43,Horizon Estate,BuildFirst Ltd,1029,1017.0,2750.0,2637.04,2023-08-22,2023-09-04,2024-06-30,0,REIFA,0,,1100.0,962.5,687.5,0.0,0.0,1054.82,922.96,659.26,0.0,0.0
44,Upsilon Park,XYZ Builders,1003,1017.0,3500.0,3035.43,2022-08-10,2022-08-18,2023-06-14,0,IFA,0,,1400.0,1225.0,875.0,0.0,0.0,1214.17,1062.4,758.86,0.0,0.0
45,Iota Court,Paramount Builders,1016,1017.0,4500.0,4256.31,2024-12-21,2024-12-26,2025-10-22,0,AFC,0,,1800.0,1575.0,1125.0,0.0,0.0,1702.52,1489.71,1064.08,0.0,0.0
46,Summit Gate,Summit Construction,1042,,3000.0,2763.32,2024-03-15,2024-03-28,2025-01-22,0,REIFA,0,,1200.0,1050.0,750.0,0.0,0.0,1105.33,967.16,690.83,0.0,0.0
47,Omicron Manor,StructurePro,1042,1017.0,2750.0,2285.64,2025-04-08,2025-04-19,2026-02-13,0,IFA,0,,1100.0,962.5,687.5,0.0,0.0,914.26,799.97,571.41,0.0,0.0
48,Horizon Park,Horizon Builders,1042,,2750.0,2660.08,2023-11-04,2023-11-08,2024-09-03,0,REIFA,0,,1100.0,962.5,687.5,0.0,0.0,1064.03,931.03,665.02,0.0,0.0
49,Nu Residency,Prime Estates,1029,,4500.0,3637.44,2024-08-17,2024-08-26,2025-06-22,0,IFC,0,,1800.0,1575.0,1125.0,0.0,0.0,1454.98,1273.1,909.36,0.0,0.0
50,Eta Plaza,SteelCraft Ltd,1081,,4000.0,3448.34,2022-04-08,2022-04-21,2023-02-15,0,IFA,0,,1600.0,1400.0,1000.0,0.0,0.0,1379.34,1206.92,862.08,0.0,0.0
51,Orion Complex,Horizon Builders,1042,,3000.0,2386.95,2024-07-02,2024-07-07,2025-05-03,0,IFA,0,,1200.0,1050.0,750.0,0.0,0.0,954.78,835.43,596.74,0.0,0.0
52,Zeta Park,Skyline Group,1094,,2750.0,2095.89,2025-01-09,2025-01-12,2025-11-08,0,AFC,0,,1100.0,962.5,687.5,0.0,0.0,838.36,733.56,523.97,0.0,0.0
53,Alpha Bay,Horizon Builders,1042,,4000.0,3866.35,2022-11-25,2022-12-04,2023-09-30,0,AFC,0,,1600.0,1400.0,1000.0,0.0,0.0,1546.54,1353.22,966.59,0.0,0.0
54,Sterling Mall,BuildFirst Ltd,1055,1017.0,4000.0,3668.73,2025-01-30,2025-02-12,2025-12-09,0,IFA,0,,1600.0,1400.0,1000.0,0.0,0.0,1467.49,1284.06,917.18,0.0,0.0
55,Horizon Place,Skyline Group,1003,1017.0,3500.0,2673.02,2025-04-01,2025-04-11,2026-02-05,0,IFA,0,,1400.0,1225.0,875.0,0.0,0.0,1069.21,935.56,668.25,0.0,0.0
56,Theta Manor,StructurePro,1029,,2750.0,2455.22,2023-04-18,2023-04-27,2024-02-21,0,IFA,0,,1100.0,962.5,687.5,0.0,0.0,982.09,859.33,613.8,0.0,0.0
57,Nexus Centre,BuildFirst Ltd,1016,,4000.0,3631.08,2025-02-20,2025-03-03,2025-12-28,0,IFC,0,,1600.0,1400.0,1000.0,0.0,0.0,1452.43,1270.88,907.77,0.0,0.0
58,Nexus Heights,ABC Constructions,1042,,3200.0,2703.96,2023-08-28,2023-09-07,2024-07-03,0,IFA,0,,1280.0,1120.0,800.0,0.0,0.0,1081.58,946.39,675.99,0.0,0.0
59,Epsilon Park,TechBuild Inc,1016,1017.0,3000.0,2614.24,2022-09-21,2022-09-29,2023-07-26,0,AFC,0,,1200.0,1050.0,750.0,0.0,0.0,1045.7,914.98,653.56,0.0,0.0
60,Eta Mall,Horizon Builders,1055,1017.0,2500.0,2275.72,2025-02-02,2025-02-09,2025-12-06,0,IFA,0,,1000.0,875.0,625.0,0.0,0.0,910.29,796.5,568.93,0.0,0.0
61,Apex Gardens,Horizon Builders,1029,,3200.0,2616.39,2023-02-22,2023-03-08,2024-01-02,0,IFC,0,,1280.0,1120.0,800.0,0.0,0.0,1046.56,915.74,654.09,0.0,0.0
62,Alpha Hub,Urban Developers,1003,,2750.0,2481.13,2023-07-18,2023-07-21,2024-05-16,0,IFC,0,,1100.0,962.5,687.5,0.0,0.0,992.45,868.4,620.28,0.0,0.0
63,Alpha Residency,Acme Corp,1029,,4500.0,5345.64,2024-05-14,2024-05-25,2025-06-29,0,REIFA,0,,1800.0,1575.0,1125.0,0.0,0.0,2138.26,1870.97,1336.41,0.0,0.0
64,Iota Plaza,Metro Constructions,1003,,3500.0,4184.7,2022-10-22,2022-10-31,2023-12-05,0,IFA,0,,1400.0,1225.0,875.0,0.0,0.0,1673.88,1464.64,1046.18,0.0,0.0
65,Meridian Ridge,CoreStruct Ltd,1068,,3000.0,3661.55,2022-07-22,2022-07-30,2023-09-03,0,REIFA,0,,1200.0,1050.0,750.0,0.0,0.0,1464.62,1281.54,915.39,0.0,0.0
66,Apex Ridge,StructurePro,1029,1017.0,2875.0,3652.27,2022-02-15,2022-02-20,2023-03-27,0,IFA,0,,1150.0,1006.25,718.75,0.0,0.0,1460.91,1278.29,913.07,0.0,0.0
67,Omicron Tower,BuildFirst Ltd,1081,,2500.0,3161.62,2023-03-26,2023-04-01,2024-05-05,0,IFC,0,,1000.0,875.0,625.0,0.0,0.0,1264.65,1106.57,790.4,0.0,0.0
68,Pinnacle Hub,ABC Constructions,1016,1017.0,3200.0,3640.92,2024-10-31,2024-11-09,2025-12-14,0,IFC,0,,1280.0,1120.0,800.0,0.0,0.0,1456.37,1274.32,910.23,0.0,0.0
69,Crest Hub,Pinnacle Projects,1029,,3200.0,3390.61,2025-04-27,2025-05-06,2026-06-10,0,IFA,0,,1280.0,1120.0,800.0,0.0,0.0,1356.24,1186.71,847.66,0.0,0.0
70,Vista Terrace,BuildFirst Ltd,1081,,3000.0,3341.04,2024-06-09,2024-06-12,2025-07-17,0,IFA,0,,1200.0,1050.0,750.0,0.0,0.0,1336.42,1169.36,835.26,0.0,0.0
71,Upsilon Place,Metro Constructions,1068,,3500.0,4255.46,2022-08-30,2022-09-13,2023-10-18,0,IFC,0,,1400.0,1225.0,875.0,0.0,0.0,1702.18,1489.41,1063.87,0.0,0.0
72,Zenith Complex,CoreStruct Ltd,1081,,3200.0,3803.53,2023-01-19,2023-01-28,2024-03-03,0,AFC,0,,1280.0,1120.0,800.0,0.0,0.0,1521.41,1331.24,950.88,0.0,0.0
73,Eclipse Hub,NovaBuild Corp,1003,,3200.0,3589.53,2024-05-18,2024-05-30,2025-07-04,0,REIFA,0,,1280.0,1120.0,800.0,0.0,0.0,1435.81,1256.34,897.38,0.0,0.0
74,Cascade Hub,Acme Corp,1094,,2875.0,3492.3,2023-07-25,2023-08-05,2024-09-08,0,REIFA,0,,1150.0,1006.25,718.75,0.0,0.0,1396.92,1222.31,873.07,0.0,0.0
75,Gamma Park,Vertex Infra,1055,,3000.0,3754.92,2022-10-26,2022-10-29,2023-12-03,0,IFA,0,,1200.0,1050.0,750.0,0.0,0.0,1501.97,1314.22,938.73,0.0,0.0
76,Zenith Court,SteelCraft Ltd,1094,1017.0,4000.0,5086.14,2025-03-18,2025-03-24,2026-04-28,0,IFA,0,,1600.0,1400.0,1000.0,0.0,0.0,2034.46,1780.15,1271.53,0.0,0.0
77,Delta Terrace,StructurePro,1016,,4000.0,4418.84,2024-11-16,2024-11-26,2025-12-31,0,IFA,0,,1600.0,1400.0,1000.0,0.0,0.0,1767.54,1546.59,1104.71,0.0,0.0
78,Atlas Estate,Summit Construction,1094,,2875.0,3594.77,2024-12-12,2024-12-23,2026-01-27,0,AFC,0,,1150.0,1006.25,718.75,0.0,0.0,1437.91,1258.17,898.69,0.0,0.0
79,Sigma Place,Vertex Infra,1029,,4500.0,5231.33,2023-05-09,2023-05-22,2024-06-25,0,IFC,0,,1800.0,1575.0,1125.0,0.0,0.0,2092.53,1830.97,1307.83,0.0,0.0
80,Apex Hub,Paramount Builders,1094,1017.0,2750.0,3378.06,2023-04-19,2023-04-26,2024-05-30,0,REIFA,0,,1100.0,962.5,687.5,0.0,0.0,1351.22,1182.32,844.52,0.0,0.0
81,Nova Ridge,Global Infra,1042,,4000.0,4893.95,2023-03-11,2023-03-15,2024-04-18,0,AFC,0,,1600.0,1400.0,1000.0,0.0,0.0,1957.58,1712.88,1223.49,0.0,0.0
82,Beta Manor,SteelCraft Ltd,1003,,3000.0,3774.67,2024-02-25,2024-03-08,2025-04-12,0,IFC,0,,1200.0,1050.0,750.0,0.0,0.0,1509.87,1321.13,943.67,0.0,0.0
83,Pinnacle Estate,StructurePro,1055,,4000.0,5053.45,2024-04-27,2024-05-08,2025-06-12,0,IFC,0,,1600.0,1400.0,1000.0,0.0,0.0,2021.38,1768.71,1263.36,0.0,0.0
84,Vega Complex,NovaBuild Corp,1081,,4500.0,4757.65,2023-11-07,2023-11-20,2024-12-24,0,IFA,0,,1800.0,1575.0,1125.0,0.0,0.0,1903.06,1665.18,1189.41,0.0,0.0
85,Titan Complex,XYZ Builders,1081,1017.0,2500.0,2677.47,2024-05-22,2024-05-27,2025-07-01,0,IFC,0,,1000.0,875.0,625.0,0.0,0.0,1070.99,937.11,669.37,0.0,0.0
86,Nova Centre,Acme Corp,1042,,4500.0,5092.7,2024-02-09,2024-02-16,2025-03-22,0,IFA,0,,1800.0,1575.0,1125.0,0.0,0.0,2037.08,1782.44,1273.18,0.0,0.0
87,Pi Gardens,ABC Constructions,1068,,3000.0,3637.61,2022-03-21,2022-03-24,2023-04-28,0,REIFA,0,,1200.0,1050.0,750.0,0.0,0.0,1455.04,1273.16,909.41,0.0,0.0
88,Titan Centre,TechBuild Inc,1029,1017.0,4500.0,5478.14,2025-02-23,2025-03-01,2026-04-05,0,IFA,0,,1800.0,1575.0,1125.0,0.0,0.0,2191.26,1917.35,1369.53,0.0,0.0
89,Solaris Bay,SteelCraft Ltd,1029,,3200.0,3446.48,2022-02-15,2022-02-22,2023-03-29,0,REIFA,0,,1280.0,1120.0,800.0,0.0,0.0,1378.59,1206.27,861.62,0.0,0.0
90,Eclipse Residency,Integral Engineering,1016,,3000.0,3226.43,2023-08-28,2023-09-10,2024-10-14,0,IFC,0,,1200.0,1050.0,750.0,0.0,0.0,1290.57,1129.25,806.61,0.0,0.0
91,Nova Court,Prime Estates,1081,,3500.0,3735.34,2023-11-27,2023-11-30,2025-01-03,0,IFC,0,,1400.0,1225.0,875.0,0.0,0.0,1494.14,1307.37,933.83,0.0,0.0
92,Sigma Estate,Paramount Builders,1094,,2875.0,3331.76,2024-11-21,2024-12-04,2026-01-08,0,AFC,0,,1150.0,1006.25,718.75,0.0,0.0,1332.7,1166.12,832.94,0.0,0.0
93,Sigma Gate,StructurePro,1081,,3200.0,3617.84,2023-05-14,2023-05-18,2024-06-21,0,AFC,0,,1280.0,1120.0,800.0,0.0,0.0,1447.14,1266.24,904.46,0.0,0.0
94,Sterling Gardens,TechBuild Inc,1068,,2500.0,2933.94,2023-10-23,2023-10-28,2024-12-01,0,IFC,0,,1000.0,875.0,625.0,0.0,0.0,1173.58,1026.88,733.48,0.0,0.0
95,Meridian Park,Vertex Infra,1055,,3200.0,1938.19,2025-11-06,2025-11-12,,1,AFC,0,,1280.0,1120.0,800.0,0.0,0.0,775.28,678.37,484.54,0.0,0.0
96,Pi Square,Integral Engineering,1094,,2500.0,877.95,2025-01-04,2025-01-13,,1,IFC,0,,1000.0,875.0,625.0,0.0,0.0,351.18,307.28,219.49,0.0,0.0
97,Upsilon Centre,StructurePro,1081,1017.0,3500.0,1727.24,2025-09-01,2025-09-08,,1,REIFA,0,,1400.0,1225.0,875.0,0.0,0.0,690.9,604.53,431.81,0.0,0.0
98,Xi Court,Horizon Builders,1068,,2750.0,1948.61,2024-12-01,2024-12-07,,1,IFC,0,,1100.0,962.5,687.5,0.0,0.0,779.44,682.01,487.16,0.0,0.0
99,Upsilon Tower,Paramount Builders,1016,1017.0,3000.0,1388.81,2025-05-31,2025-06-05,,1,IFA,0,,1200.0,1050.0,750.0,0.0,0.0,555.52,486.08,347.21,0.0,0.0
100,Sterling Residency,ABC Constructions,1003,,3200.0,2187.45,2024-09-25,2024-10-08,,1,AFC,0,,1280.0,1120.0,800.0,0.0,0.0,874.98,765.61,546.86,0.0,0.0
101,Crown Residency,Acme Corp,1094,,4500.0,2193.25,2024-07-16,2024-07-23,,1,IFA,0,,1800.0,1575.0,1125.0,0.0,0.0,877.3,767.64,548.31,0.0,0.0
102,Theta Terrace,Pinnacle Projects,1003,,2875.0,1098.42,2025-12-22,2025-12-29,,1,REIFA,0,,1150.0,1006.25,718.75,0.0,0.0,439.37,384.45,274.6,0.0,0.0
103,Orion Square,Integral Engineering,1081,,4500.0,3598.55,2025-03-20,2025-04-01,,1,IFA,0,,1800.0,1575.0,1125.0,0.0,0.0,1439.42,1259.49,899.64,0.0,0.0
104,Meridian Heights,Skyline Group,1042,1017.0,3000.0,1336.67,2024-08-18,2024-08-23,,1,AFC,0,,1200.0,1050.0,750.0,0.0,0.0,534.67,467.83,334.17,0.0,0.0
105,Tau Gate,Acme Corp,1094,,3200.0,1017.45,2025-03-09,2025-03-23,,1,IFC,0,,1280.0,1120.0,800.0,0.0,0.0,406.98,356.11,254.36,0.0,0.0
106,Kappa Centre,Urban Developers,1042,1017.0,4000.0,1452.51,2025-01-04,2025-01-17,,1,REIFA,0,,1600.0,1400.0,1000.0,0.0,0.0,581.0,508.38,363.13,0.0,0.0
107,Upsilon Bay,Horizon Builders,1055,,3200.0,1732.91,2025-09-09,2025-09-23,,1,AFC,0,,1280.0,1120.0,800.0,0.0,0.0,693.16,606.52,433.23,0.0,0.0
108,Nexus Estate,Horizon Builders,1094,1017.0,2750.0,1729.53,2025-08-03,2025-08-17,,1,REIFA,0,,1100.0,962.5,687.5,0.0,0.0,691.81,605.34,432.38,0.0,0.0
109,Vista Gate,Horizon Builders,1003,1017.0,3200.0,1974.19,2024-11-17,2024-11-27,,1,AFC,0,,1280.0,1120.0,800.0,0.0,0.0,789.68,690.97,493.54,0.0,0.0
110,Nexus Residency,Skyline Group,1094,,2750.0,1535.89,2025-07-16,2025-07-24,,1,AFC,0,,1100.0,962.5,687.5,0.0,0.0,614.36,537.56,383.97,0.0,0.0
111,Titan Heights,Global Infra,1055,1017.0,4000.0,2989.85,2025-12-13,2025-12-16,,1,IFA,0,,1600.0,1400.0,1000.0,0.0,0.0,1195.94,1046.45,747.46,0.0,0.0
112,Nova Plaza,BuildFirst Ltd,1081,,2500.0,1654.28,2025-11-28,2025-12-08,,1,AFC,0,,1000.0,875.0,625.0,0.0,0.0,661.71,579.0,413.57,0.0,0.0
113,Beta Estate,StructurePro,1094,,2500.0,1029.89,2025-12-10,2025-12-15,,1,IFC,0,,1000.0,875.0,625.0,0.0,0.0,411.96,360.46,257.47,0.0,0.0
114,Theta Mall,Vertex Infra,1003,,4000.0,1405.06,2024-09-15,2024-09-25,,1,IFC,0,,1600.0,1400.0,1000.0,0.0,0.0,562.02,491.77,351.27,0.0,0.0
115,Titan Terrace,Urban Developers,1055,,4000.0,3036.39,2025-09-21,2025-09-27,,1,REIFA,0,,1600.0,1400.0,1000.0,0.0,0.0,1214.56,1062.74,759.09,0.0,0.0
116,Horizon Centre,ABC Constructions,1016,1017.0,3200.0,2319.91,2025-07-22,2025-07-30,,1,IFC,0,,1280.0,1120.0,800.0,0.0,0.0,927.96,811.97,579.98,0.0,0.0
117,Apex Terrace,Paramount Builders,1094,,2875.0,1568.6,2025-10-01,2025-10-09,,1,IFC,0,,1150.0,1006.25,718.75,0.0,0.0,627.44,549.01,392.15,0.0,0.0
118,Gamma Hub,Vertex Infra,1042,,3000.0,1843.47,2025-01-17,2025-01-26,,1,AFC,0,,1200.0,1050.0,750.0,0.0,0.0,737.39,645.21,460.87,0.0,0.0
119,Horizon Manor,Global Infra,1081,,2875.0,1645.74,2024-07-03,2024-07-08,,1,AFC,0,,1150.0,1006.25,718.75,0.0,0.0,658.3,576.01,411.43,0.0,0.0
120,Kappa Heights,Vertex Infra,1016,,4500.0,1387.99,2024-10-17,2024-10-26,,1,IFC,0,,1800.0,1575.0,1125.0,0.0,0.0,555.2,485.8,346.99,0.0,0.0
121,Geo Build,SteelCraft Ltd,1081,,4000.0,3192.07,2022-12-27,2023-01-02,2023-10-29,0,REIFA,0,,1600.0,1400.0,1000.0,0.0,0.0,1276.83,1117.22,798.02,0.0,0.0
122,Lux Build,Global Infra,1094,,3200.0,2413.52,2024-01-14,2024-01-17,2024-11-12,0,IFC,0,,1280.0,1120.0,800.0,0.0,0.0,965.41,844.73,603.38,0.0,0.0
123,Aero Build,CoreStruct Ltd,1081,,3200.0,3064.28,2023-12-28,2024-01-02,2024-10-28,0,REIFA,0,,1280.0,1120.0,800.0,0.0,0.0,1225.71,1072.5,766.07,0.0,0.0
124,Aero Span,Global Infra,1029,,4000.0,3372.42,2022-07-01,2022-07-04,2023-04-30,0,IFA,0,,1600.0,1400.0,1000.0,0.0,0.0,1348.97,1180.35,843.1,0.0,0.0
125,Crux Block,Integral Engineering,1081,,3200.0,3058.22,2023-05-23,2023-06-01,2024-03-27,0,REIFA,0,,1280.0,1120.0,800.0,0.0,0.0,1223.29,1070.38,764.55,0.0,0.0
126,Flux Dome,Global Infra,1003,,3000.0,2877.16,2022-06-11,2022-06-23,2023-04-19,0,REIFA,0,,1200.0,1050.0,750.0,0.0,0.0,1150.86,1007.01,719.29,0.0,0.0
127,Crux Node,NovaBuild Corp,1029,,2875.0,2416.27,2024-03-02,2024-03-09,2025-01-03,0,IFC,0,,1150.0,1006.25,718.75,0.0,0.0,966.51,845.69,604.07,0.0,0.0
128,Zion Grid,Pinnacle Projects,1029,,3500.0,3123.97,2023-02-10,2023-02-23,2023-12-20,0,IFC,0,,1400.0,1225.0,875.0,0.0,0.0,1249.59,1093.39,780.99,0.0,0.0
129,Hex Frame,Paramount Builders,1055,,3000.0,3376.07,2025-05-12,2025-05-18,2026-06-22,0,IFC,0,,1200.0,1050.0,750.0,0.0,0.0,1350.43,1181.62,844.02,0.0,0.0
130,Terra Build,Pinnacle Projects,1094,,4500.0,4802.57,2023-12-09,2023-12-14,2025-01-17,0,IFC,0,,1800.0,1575.0,1125.0,0.0,0.0,1921.03,1680.9,1200.64,0.0,0.0
131,Zion Prism,NovaBuild Corp,1055,,4000.0,4512.7,2022-05-23,2022-05-28,2023-07-02,0,IFA,0,,1600.0,1400.0,1000.0,0.0,0.0,1805.08,1579.44,1128.18,0.0,0.0
132,Crux Frame,Summit Construction,1042,,2750.0,3011.96,2024-11-15,2024-11-26,2025-12-31,0,IFC,0,,1100.0,962.5,687.5,0.0,0.0,1204.78,1054.19,752.99,0.0,0.0
133,Apex2 Frame,Pinnacle Projects,1042,,3200.0,4051.27,2022-02-03,2022-02-13,2023-03-20,0,IFA,0,,1280.0,1120.0,800.0,0.0,0.0,1620.51,1417.94,1012.82,0.0,0.0
134,Flux Node,Paramount Builders,1003,,2875.0,3437.71,2024-12-23,2024-12-27,2026-01-31,0,IFA,0,,1150.0,1006.25,718.75,0.0,0.0,1375.08,1203.2,859.43,0.0,0.0
